taxonID	type	format	identifier	references	title	description	created	creator	contributor	publisher	audience	source	license	rightsHolder	datasetID
EC6DA359F5023F7D4B58EAC1FDD2C39A.taxon	http://purl.org/dc/dcmitype/StillImage	image/png	https://zenodo.org/record/5173936/files/figure.png	https://doi.org/10.5281/zenodo.5173936	FIGURt 1.-Leptocoris camivoms: a, outline of dorsal view of head and pronotum; b, ventral view of last abdominal segment of male showing hairy posterior arms, slender median process and slender claspers on each side of middle.	FIGURt 1.-Leptocoris camivoms: a, outline of dorsal view of head and pronotum; b, ventral view of last abdominal segment of male showing hairy posterior arms, slender median process and slender claspers on each side of middle.	1946-12-20	Usinger, Robert L.		Zenodo	biologists	Usinger, Robert L.			
EC6DA359F51D3F7F4BABE81FFA50C0FE.taxon	http://purl.org/dc/dcmitype/StillImage	image/png	https://zenodo.org/record/5173944/files/figure.png	https://doi.org/10.5281/zenodo.5173944	FIGURE 5.-Calisius dilaticeps: dorsal view of male showing number and arrangement of granules and tubercles.	FIGURE 5.-Calisius dilaticeps: dorsal view of male showing number and arrangement of granules and tubercles.	1946-12-20	Usinger, Robert L.		Zenodo	biologists	Usinger, Robert L.			
EC6DA359F5193F7A4BF7ECD2F8F5C271.taxon	http://purl.org/dc/dcmitype/StillImage	image/png	https://zenodo.org/record/5173938/files/figure.png	https://doi.org/10.5281/zenodo.5173938	FIGURE 2.-Cligenes marianensis: dorsal view showing relative number and size of punctures and sinuate inner margin of membrane.	FIGURE 2.-Cligenes marianensis: dorsal view showing relative number and size of punctures and sinuate inner margin of membrane.	1946-12-20	Usinger, Robert L.		Zenodo	biologists	Usinger, Robert L.			
EC6DA359F5153F774BC1E8F9FBF8C7F0.taxon	http://purl.org/dc/dcmitype/StillImage	image/png	https://zenodo.org/record/5173942/files/figure.png	https://doi.org/10.5281/zenodo.5173942	FIGURE 4.-Neuroctenus pacifirns: a, dorsal view of female; b,posterior abdominal segments of male.	FIGURE 4.-Neuroctenus pacifirns: a, dorsal view of female; b,posterior abdominal segments of male.	1946-12-20	Usinger, Robert L.		Zenodo	biologists	Usinger, Robert L.			
EC6DA359F5163F714B53E877FA8AC4E4.taxon	http://purl.org/dc/dcmitype/StillImage	image/png	https://zenodo.org/record/5173944/files/figure.png	https://doi.org/10.5281/zenodo.5173944	FIGURE 5.-Calisius dilaticeps: dorsal view of male showing number and arrangement of granules and tubercles.	FIGURE 5.-Calisius dilaticeps: dorsal view of male showing number and arrangement of granules and tubercles.	1946-12-20	Usinger, Robert L.		Zenodo	biologists	Usinger, Robert L.			
EC6DA359F52F3F494BDCE9C3FAD7C8E8.taxon	http://purl.org/dc/dcmitype/StillImage	image/png	https://zenodo.org/record/5173952/files/figure.png	https://doi.org/10.5281/zenodo.5173952	FIGuRt 9.-Polytoxus pilosus: a, lateral view of head and thorax of female; b, dorsal view of head and thorax of female; c, posterior view of female genital segment; d, side view of genital capsule of male showing armlike claspers and median process.	FIGuRt 9.-Polytoxus pilosus: a, lateral view of head and thorax of female; b, dorsal view of head and thorax of female; c, posterior view of female genital segment; d, side view of genital capsule of male showing armlike claspers and median process.	1946-12-20	Usinger, Robert L.		Zenodo	biologists	Usinger, Robert L.			
EC6DA359F5213F434BB8EEF2FB5CC60C.taxon	http://purl.org/dc/dcmitype/StillImage	image/png	https://zenodo.org/record/5173958/files/figure.png	https://doi.org/10.5281/zenodo.5173958	FIGURE 12.-Cardiastethus minutissimitS: a, dorsal view of male; b, head and antennae of female.	FIGURE 12.-Cardiastethus minutissimitS: a, dorsal view of male; b, head and antennae of female.	1946-12-20	Usinger, Robert L.		Zenodo	biologists	Usinger, Robert L.			
EC6DA359F5233F5C4BDEE9DDFB79C2CC.taxon	http://purl.org/dc/dcmitype/StillImage	image/png	https://zenodo.org/record/5173960/files/figure.png	https://doi.org/10.5281/zenodo.5173960	FIGURE 13.--Hyalopeplm guanmmis: dorsal view of female	FIGURE 13.--Hyalopeplm guanmmis: dorsal view of female	1946-12-20	Usinger, Robert L.		Zenodo	biologists	Usinger, Robert L.			
EC6DA359F53D3F5F4BAAECBEFB73C8FB.taxon	http://purl.org/dc/dcmitype/StillImage	image/png	https://zenodo.org/record/5173962/files/figure.png	https://doi.org/10.5281/zenodo.5173962	FIGURE 14.-Macralonidea hyalimts: dorsal view of female.	FIGURE 14.-Macralonidea hyalimts: dorsal view of female.	1946-12-20	Usinger, Robert L.		Zenodo	biologists	Usinger, Robert L.			
EC6DA359F5363F564B5AEB9BFD84C822.taxon	http://purl.org/dc/dcmitype/StillImage	image/png	https://zenodo.org/record/5173964/files/figure.png	https://doi.org/10.5281/zenodo.5173964	FIGURE 15.-—Felisacus ochraceus: dorsal view.	FIGURE 15.-—Felisacus ochraceus: dorsal view.	1946-12-20	Usinger, Robert L.		Zenodo	biologists	Usinger, Robert L.			
